Sentence_ID;Word;Label
1;Navigate;ACTION
1;to;O
1;Room 282;LOCATION
1;with;O
1;Aspirin.;O
2;Take;ACTION
2;Ibuprofen;MEDICINE
2;to;O
2;Room 143.;LOCATION
3;Navigate;ACTION
3;to;O
3;doctors room;LOCATION
3;with;O
3;Tylenol.;O
4;Proceed;ACTION
4;to;O
4;nurse station;LOCATION
4;with;O
4;Penicillin.;O
5;Navigate;ACTION
5;to;O
5;doctors room;LOCATION
5;with;O
5;Cough;O
5;Syrup.;O
6;Bring;ACTION
6;Ibuprofen;MEDICINE
6;to;O
6;Room 339.;LOCATION
7;Deliver;ACTION
7;Penicillin;MEDICINE
7;to;O
7;Room 164.;LOCATION
8;Head towards;ACTION
8;to;O
8;Room 357;LOCATION
8;with;O
8;Aspirin.;O
9;head;O
9;Take;ACTION
9;towards;O
9;Penicillin;MEDICINE
9;to;O
9;Room 351.;LOCATION
10;Go;ACTION
10;to;O
10;Room 174;LOCATION
10;with;O
10;Penicillin.;O
11;Take;ACTION
11;Ibuprofen;MEDICINE
11;to;O
11;ICU.;O
12;Go;ACTION
12;to;O
12;nurse station;LOCATION
12;with;O
12;Antibiotics.;O
13;Move;ACTION
13;to;O
13;nurse station;LOCATION
13;with;O
13;Aspirin.;O
14;Proceed;ACTION
14;to;O
14;ICU;LOCATION
14;with;O
14;Paracetamol.;O
15;Deliver;ACTION
15;Tylenol;MEDICINE
15;to;O
15;doctors_room.;O
16;room.;O
16;to;O
16;doctors;O
16;Antibiotics;MEDICINE
16;Bring;ACTION
17;Go;ACTION
17;to;O
17;doctors room;LOCATION
17;with;O
17;Ibuprofen.;O
18;head;O
18;Go;ACTION
18;to;O
18;ICU;LOCATION
18;towards;O
18;with;O
18;Aspirin.;O
19;Deliver;ACTION
19;Aspirin;MEDICINE
19;to;O
19;Room 135.;LOCATION
20;Bring;ACTION
20;Penicillin;MEDICINE
20;to;O
20;doctors_room.;O
21;Deliver;ACTION
21;Penicillin;MEDICINE
21;to;O
21;Room 545.;LOCATION
22;Navigate;ACTION
22;to;O
22;Room 565;LOCATION
22;with;O
22;Cough;O
22;Syrup.;O
23;Navigate;ACTION
23;to;O
23;emergency room;LOCATION
23;with;O
23;Cough;O
23;Syrup.;O
24;Move;ACTION
24;to;O
24;ICU;LOCATION
24;with;O
24;Antibiotics.;O
25;Move;ACTION
25;to;O
25;RECEPTION;LOCATION
25;with;O
25;Ibuprofen.;O
26;Transport;ACTION
26;Cough;O
26;Syrup;O
26;to;O
26;Room 243.;LOCATION
27;Take;ACTION
27;to;O
27;reception.;O
27;Ibuprofen;MEDICINE
28;towards;O
28;Head;O
28;with;O
28;Room 442;LOCATION
28;Antibiotics.;O
28;to;O
29;Proceed;ACTION
29;to;O
29;Room 570;LOCATION
29;with;O
29;Ibuprofen.;O
30;Take;ACTION
30;Antibiotics;MEDICINE
30;to;O
30;reception.;O
31;Deliver;ACTION
31;Cough;O
31;Syrup;O
31;to;O
31;Room 469.;LOCATION
32;Head towards;ACTION
32;to;O
32;Room 377;LOCATION
32;with;O
32;Cough;O
32;Syrup.;O
33;Take;ACTION
33;Cough;O
33;Syrup;O
33;tko;O
33;nurse_station.;O
34;Move;ACTION
34;to;O
34;Room 332;LOCATION
34;with;O
34;Cough;O
34;Syrup.;O
35;Navigate;ACTION
35;to;O
35;ICU;LOCATION
35;with;O
35;Cough;O
35;Syrup.;O
36;Take;ACTION
36;Antibiotics;MEDICINE
36;to;O
36;Room 493.;LOCATION
37;Proceed;ACTION
37;to;O
37;nurse station;LOCATION
37;with;O
37;Aspirin.;O
38;Go;ACTION
38;to;O
38;nurse station;LOCATION
38;with;O
38;Antibiotics.;O
39;Deliver;ACTION
39;Paracc;O
39;to;O
39;Room 535.;LOCATION
40;Transport;ACTION
40;Cough;O
40;Syrup;O
40;to;O
40;doctors_room.;O
41;Head towards;ACTION
41;to;O
41;Room 383;LOCATION
41;with;O
41;Paracetamol.;O
42;Take;ACTION
42;Aspirin;MEDICINE
42;to;O
42;reception.;O
43;Transport;ACTION
43;Tylenol;MEDICINE
43;to;O
43;nurse_station.;O
44;Deliver;ACTION
44;Aspirin;MEDICINE
44;to;O
44;Room 462.;LOCATION
45;Deliver;ACTION
45;Ibuprofen;MEDICINE
45;to;O
45;Room 387.;LOCATION
46;Head towards;ACTION
46;to;O
46;ICU;LOCATION
46;with;O
46;Aspirin.;O
47;Go;ACTION
47;to;O
47;emergency room;LOCATION
47;with;O
47;Tylenol.;O
48;Send;ACTION
48;Tylenol;MEDICINE
48;to;O
48;Room 366.;LOCATION
49;emergency room;LOCATION
49;Transport;ACTION
49;Ibuprofen;MEDICINE
49;to;O
49;nurse_station.;O
50;Go;ACTION
50;to;O
50;Room 536;LOCATION
50;with;O
50;Tylenol.;O
51;Transport;ACTION
51;Ibuprofen;MEDICINE
51;to;O
51;emergency_room.;O
51;towards;O
51;head;O
52;Bring;ACTION
52;Aspirin;MEDICINE
52;to;O
52;Room 377.;LOCATION
53;Head towards;ACTION
53;to;O
53;nation;O
53;reception;LOCATION
53;with;O
53;Antibiotics.;O
54;Send;ACTION
54;Ibuprofen;MEDICINE
54;to;O
54;Room 307.;LOCATION
55;Bring;ACTION
55;Cough;O
55;Syrup;O
55;to;O
55;Room 258.;LOCATION
56;Head towards;ACTION
56;to;O
56;emergency room;LOCATION
56;with;O
56;Ibuprofen.;O
57;Deliver;ACTION
57;Ibuprofen;MEDICINE
57;to;O
57;doctors_room.;O
58;Take;ACTION
58;Paracetamolxtamol;O
58;to;O
58;reception.;O
59;Send;ACTION
59;Penicillin;MEDICINE
59;to;O
59;Room 492.;LOCATION
60;Proceed;ACTION
60;class;O
60;to;O
60;Room 130;LOCATION
60;with;O
60;Cough;O
60;Syrup.;O
61;Send;ACTION
61;Cough;O
61;Syrup;O
61;to;O
61;Room 138.;LOCATION
62;Deliver;ACTION
62;Tylenol;MEDICINE
62;to;O
62;Room 266.;LOCATION
63;Take;ACTION
63;Cough;O
63;Syrup;O
63;to;O
63;doctors_room.;O
64;Send;ACTION
64;Antibiotics;MEDICINE
64;to;O
64;Room 224.;LOCATION
65;Send;ACTION
65;Tylenol;MEDICINE
65;to;O
65;Room 590.;LOCATION
66;Proceed;ACTION
66;to;O
66;Room 428;LOCATION
66;with;O
66;Ibuprofen.;O
67;Deliver;ACTION
67;Aspirin;MEDICINE
67;to;O
67;towards;O
67;emergency_room.;O
67;head;O
68;Deliver;ACTION
68;Tylenol;MEDICINE
68;to;O
68;doctors_room.;O
69;Go;ACTION
69;with;O
69;to;O
69;Room 431;LOCATION
69;Antibiotics.;O
70;Move;ACTION
70;to;O
70;nurse station;LOCATION
70;with;O
70;Aspirin.;O
71;Go;ACTION
71;to;O
71;Room 419;LOCATION
71;with;O
71;Tylenol.;O
72;Deliver;ACTION
72;Penicillin;MEDICINE
72;to;O
72;nurse;O
72;head;O
72;towards;O
72;station.;O
73;Move;ACTION
73;RECEPTION;LOCATION
73;with;O
73;Antibiotics.;O
73;to;O
74;Bring;ACTION
74;Antibiotics;MEDICINE
74;to;O
74;doctors_room.;O
75;Penicillin;MEDICINE
75;room.;O
75;to;O
75;Take;ACTION
75;doctors;O
76;Bring;ACTION
76;Penicillin;MEDICINE
76;to;O
76;ICU.;O
77;Deliver;ACTION
77;Ibuprofen;MEDICINE
77;to;O
77;reception.;O
78;Proceed;ACTION
78;to;O
78;emergency room;LOCATION
78;with;O
78;Tylenol.;O
79;Head towards;ACTION
79;to;O
79;reception;LOCATION
79;with;O
79;Aspirin.;O
80;Deliver;ACTION
80;Aspirin;MEDICINE
80;to;O
80;Room 119.;LOCATION
81;Move;ACTION
81;to;O
81;RECEPTION;LOCATION
81;with;O
81;Tylenol.;O
82;Take;ACTION
82;Ibuprofen;MEDICINE
82;to;O
82;Room 535.;LOCATION
83;Navigate;ACTION
83;to;O
83;Room 261;LOCATION
83;with;O
83;Antibiotics.;O
84;ahead;O
84;Take;ACTION
84;Tylenol;MEDICINE
84;to;O
84;Room 352.;LOCATION
85;Bring;ACTION
85;Penicillin;MEDICINE
85;to;O
85;emergency_room.;O
86;Navigate;ACTION
86;to;O
86;RECEPTION;LOCATION
86;with;O
86;Ibuprofen.;O
87;Navigate;ACTION
87;to;O
87;RECEPTION;LOCATION
87;with;O
87;Paracetamol.;O
88;Take;ACTION
88;Penicillin;MEDICINE
88;to;O
88;Room 138.;LOCATION
89;Navigate;ACTION
89;to;O
89;Room head;LOCATION
89;405;O
89;towards;O
89;with;O
89;Aspirin.;O
90;Take;ACTION
90;Paracetamol;MEDICINE
90;to;O
90;ICU.;O
91;Bring;ACTION
91;Ibuprofen;MEDICINE
91;to;O
91;Room 108.;LOCATION
92;ICU;LOCATION
92;Tylenol;MEDICINE
92;to;O
92;nurse_station.;O
93;Send;ACTION
93;Antibiotics;MEDICINE
93;to;O
93;ICU.;O
94;Go;ACTION
94;to;O
94;ICU;LOCATION
94;with;O
94;Cough;O
94;Syrup.;O
95;Deliver;ACTION
95;Ibuprofen;MEDICINE
95;to;O
95;nurse_station.;O
96;Head towards;ACTION
96;to;O
96;ICU;LOCATION
96;with;O
96;Antibiotics.;O
97;Go;ACTION
97;to;O
97;Room 119;LOCATION
97;with;O
97;Antibiotics.;O
98;Transport;ACTION
98;Aspirin;MEDICINE
98;to;O
98;Room 370.;LOCATION
99;Move;ACTION
99;head;O
99;to;O
99;towards;O
99;Room 367;LOCATION
99;with;O
99;Antibiotics.;O
100;Transport;ACTION
