Sentence_ID,Word,POS,NER
1,Bring,VERB,ACTION
1,Ibuprofen,PROPN,O
1,to,ADP,O
1,emergency,NOUN,O
1,room.,NOUN,O
2,Proceed,VERB,ACTION
2,to,ADP,O
2,Room,PROPN,B-LOC
2,503,NUM,I-LOC
2,with,ADP,O
2,Aspirin.,PROPN,O
3,Transport,PROPN,ACTION
3,Aspirin,PROPN,O
3,to,ADP,O
3,emergency,NOUN,O
3,room.,NOUN,O
4,Go,VERB,ACTION
4,to,ADP,O
4,Room,PROPN,B-LOC
4,250,NUM,I-LOC
4,with,ADP,O
4,Paracetamol.,PROPN,O
5,Deliver,PROPN,ACTION
5,Antibiotics,PROPN,O
5,to,PART,O
5,Room,VERB,B-LOC
5,525.,NUM,I-LOC
6,Take,VERB,ACTION
6,Tylenol,PROPN,O
6,to,ADP,O
6,nurse,NOUN,O
6,station.,NOUN,O
7,Navigate,VERB,ACTION
7,to,ADP,O
7,Room,PROPN,B-LOC
7,413,NUM,I-LOC
7,with,ADP,O
7,Antibiotics.,PROPN,O
8,Send,VERB,ACTION
8,Paracetamol,PROPN,O
8,to,ADP,O
8,emergency,NOUN,O
8,room.,NOUN,O
9,Deliver,VERB,ACTION
9,Penicillin,PROPN,O
9,to,ADP,O
9,Room,PROPN,B-LOC
9,512.,NUM,I-LOC
10,Deliver,VERB,ACTION
10,Paracetamol,PROPN,O
10,to,ADP,O
10,ICU.,PROPN,LOC
11,Deliver,PROPN,ACTION
11,Antibiotics,PROPN,O
11,to,PART,O
11,nurse,VERB,O
11,station.,NOUN,O
12,Bring,VERB,ACTION
12,Aspirin,PROPN,O
12,to,ADP,O
12,Room,PROPN,B-LOC
12,395.,NUM,I-LOC
13,Move,VERB,ACTION
13,to,ADP,O
13,Room,PROPN,B-LOC
13,458,NUM,I-LOC
13,with,ADP,O
13,Paracetamol.,PROPN,O
14,Bring,VERB,ACTION
14,Tylenol,PROPN,O
14,to,ADP,O
14,nurse,NOUN,O
14,station.,NOUN,O
15,guy,NOUN,O
15,Move,VERB,ACTION
15,to,ADP,O
15,Room,PROPN,B-LOC
15,347,NUM,I-LOC
15,with,ADP,O
15,Antibiotics.,PROPN,O
16,Go,VERB,ACTION
16,to,ADP,O
16,Room,PROPN,B-LOC
16,267,NUM,I-LOC
16,with,ADP,O
16,Penicillin.,PROPN,O
17,Deliver,PROPN,ACTION
17,Antibiotics,PROPN,O
17,to,PART,O
17,reception.,NOUN,LOC
18,Go,VERB,ACTION
18,to,ADP,O
18,ICU,PROPN,LOC
18,with,ADP,O
18,Ibuprofen.,PROPN,O
19,Take,VERB,ACTION
19,Tylenol,PROPN,O
19,to,ADP,O
19,nurse,NOUN,O
19,station.,NOUN,O
20,Proceed,VERB,ACTION
20,to,ADP,O
20,Room,PROPN,B-LOC
20,379,NUM,I-LOC
20,with,ADP,O
20,Ibuprofen.,PROPN,O
21,Deliver,PROPN,ACTION
21,Antibiotics,PROPN,O
21,to,ADP,O
21,doctors,NOUN,O
21,room.,NOUN,O
22,Move,VERB,ACTION
22,to,ADP,O
22,Reception,PROPN,LOC
22,with,ADP,O
22,Paracetamol.,PROPN,O
23,Navigate,VERB,ACTION
23,to,PART,O
23,nurse,VERB,O
23,station,NOUN,O
23,with,ADP,O
23,Aspirin.,PROPN,O
24,Bring,VERB,ACTION
24,Aspirin,PROPN,O
24,to,ADP,O
24,ICU.,PROPN,LOC
25,Takyke,PROPN,O
25,Ibuprofen,PROPN,O
25,to,ADP,O
25,reception.,NOUN,LOC
26,Go,VERB,ACTION
26,to,ADP,O
26,Room,PROPN,B-LOC
26,513,NUM,I-LOC
